Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
WDOFUT;11/08/2023;4.894,000;4.928,500;4.881,000;4.926,000;125.290.332.015,00;2.551.572
WDOFUT;10/08/2023;4.909,500;4.915,000;4.860,500;4.912,500;145.066.075.955,00;2.970.616
WDOFUT;09/08/2023;4.914,500;4.936,000;4.894,000;4.922,000;135.574.483.805,00;2.756.039
WDOFUT;08/08/2023;4.954,500;4.963,000;4.911,000;4.923,000;133.676.427.475,00;2.707.404
WDOFUT;07/08/2023;4.895,000;4.937,500;4.891,000;4.923,500;103.833.466.485,00;2.109.553
WDOFUT;04/08/2023;4.945,000;4.949,000;4.870,500;4.898,000;140.911.827.235,00;2.878.157
WDOFUT;03/08/2023;4.871,000;4.948,000;4.868,000;4.945,000;163.994.944.160,00;3.345.324
WDOFUT;02/08/2023;4.827,000;4.848,000;4.807,000;4.836,500;123.074.750.925,00;2.549.493
WDOFUT;01/08/2023;4.755,000;4.827,500;4.755,000;4.820,000;130.178.486.560,00;2.709.925
WDOFUT;31/07/2023;4.761,000;4.788,500;4.741,500;4.753,000;104.825.142.525,00;2.199.955
WDOFUT;28/07/2023;4.755,961;4.770,542;4.723,279;4.763,000;120.462.453.855,00;2.550.143
WDOFUT;27/07/2023;4.752,944;4.789,145;4.737,860;4.772,050;138.695.450.770,00;2.931.834
WDOFUT;26/07/2023;4.773,559;4.784,620;4.751,436;4.765,514;114.723.079.055,00;2.420.200
WDOFUT;25/07/2023;4.757,469;4.791,157;4.748,922;4.785,626;123.443.279.340,00;2.600.065
WDOFUT;24/07/2023;4.804,732;4.815,291;4.755,458;4.761,492;123.929.865.050,00;2.606.928
WDOFUT;21/07/2023;4.855,012;4.857,023;4.794,173;4.815,794;110.628.226.565,00;2.312.168
WDOFUT;20/07/2023;4.827,861;4.847,973;4.804,732;4.832,386;128.562.463.265,00;2.676.768
WDOFUT;19/07/2023;4.854,006;4.859,537;4.817,805;4.827,358;111.617.440.895,00;2.321.514
WDOFUT;18/07/2023;4.844,956;4.866,073;4.833,392;4.851,492;135.566.556.815,00;2.812.134
WDOFUT;17/07/2023;4.841,939;4.890,208;4.837,414;4.846,967;116.270.875.590,00;2.403.891
WDOFUT;14/07/2023;4.845,459;4.856,520;4.817,302;4.832,386;133.983.472.690,00;2.785.230
WDOFUT;13/07/2023;4.842,945;4.870,599;4.829,369;4.839,928;136.664.706.090,00;2.835.029
WDOFUT;12/07/2023;4.894,733;4.905,292;4.827,861;4.862,051;142.485.464.225,00;2.949.617
WDOFUT;11/07/2023;4.944,007;4.969,147;4.897,247;4.901,269;127.226.740.400,00;2.591.190
WDOFUT;10/07/2023;4.915,348;4.951,046;4.902,778;4.949,035;116.816.148.245,00;2.386.572
WDOFUT;07/07/2023;4.969,650;4.986,745;4.896,241;4.921,381;142.511.517.265,00;2.905.909
WDOFUT;06/07/2023;4.897,750;5.001,326;4.890,711;4.970,153;167.305.874.025,00;3.396.570
WDOFUT;05/07/2023;4.895,236;4.920,376;4.884,677;4.899,761;119.669.017.280,00;2.454.365
WDOFUT;04/07/2023;4.849,984;4.900,766;4.833,894;4.892,219;84.993.454.550,00;1.756.572
WDOFUT;03/07/2023;4.847,973;4.862,554;4.810,263;4.859,537;106.009.396.705,00;2.204.205
WDOFUT;30/06/2023;4.913,336;4.922,890;4.834,900;4.837,917;140.265.394.670,00;2.897.133
WDOFUT;29/06/2023;4.895,178;4.923,450;4.878,012;4.909,314;140.310.904.150,00;2.888.578
WDOFUT;28/06/2023;4.864,381;4.918,906;4.857,818;4.900,731;141.609.801.955,00;2.919.093
WDOFUT;27/06/2023;4.817,428;4.864,886;4.798,748;4.861,857;132.998.810.700,00;2.778.824
WDOFUT;26/06/2023;4.831,565;4.833,079;4.807,836;4.818,943;87.798.517.255,00;1.839.553
WDOFUT;23/06/2023;4.842,167;4.859,332;4.816,924;4.839,138;111.460.594.555,00;2.326.353
WDOFUT;22/06/2023;4.819,448;4.841,662;4.804,302;4.825,001;123.209.096.835,00;2.579.035
WDOFUT;21/06/2023;4.846,711;4.869,935;4.814,904;4.814,904;125.693.480.585,00;2.623.749
